pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_w,q_x,q_y,q_z,wx,wy,wz
6.77071e+06,-11195.4,90655.9,-103.598,-940.733,7617.68,0.99969,0.0249012,8.4345e-05,-9.72098e-05,0.00656293,-1.3192e-06,-1.73943e-05
6.7707e+06,-11289.5,91417.7,-104.468,-940.731,7617.67,0.999682,0.0252297,8.42585e-05,-9.81065e-05,0.00658271,-1.73064e-06,-1.72982e-05
6.77068e+06,-11383.5,92179.5,-105.339,-940.73,7617.66,0.999673,0.0255592,8.41511e-05,-9.89989e-05,0.00660218,-2.14112e-06,-1.72013e-05
6.77067e+06,-11477.6,92941.2,-106.209,-940.729,7617.65,0.999665,0.0258897,8.4023e-05,-9.98871e-05,0.00662133,-2.55057e-06,-1.71037e-05
6.77066e+06,-11571.7,93703,-107.08,-940.727,7617.64,0.999656,0.0262211,8.38743e-05,-0.000100771,0.00664018,-2.95892e-06,-1.70054e-05
6.77065e+06,-11665.8,94464.8,-107.95,-940.726,7617.62,0.999647,0.0265535,8.37049e-05,-0.00010165,0.00665873,-3.36612e-06,-1.69064e-05
6.77064e+06,-11759.8,95226.5,-108.821,-940.724,7617.61,0.999638,0.0268868,8.3515e-05,-0.000102526,0.00667698,-3.7721e-06,-1.68068e-05
6.77063e+06,-11853.9,95988.3,-109.691,-940.723,7617.6,0.999629,0.0272209,8.33046e-05,-0.000103396,0.00669494,-4.17681e-06,-1.67066e-05
6.77062e+06,-11948,96750.1,-110.562,-940.721,7617.59,0.99962,0.027556,8.30738e-05,-0.000104263,0.00671261,-4.58019e-06,-1.66059e-05
6.77061e+06,-12042.1,97511.8,-111.432,-940.719,7617.57,0.999611,0.0278919,8.28226e-05,-0.000105125,0.00672999,-4.98218e-06,-1.65047e-05
6.7706e+06,-12136.1,98273.6,-112.303,-940.718,7617.56,0.999601,0.0282287,8.2551e-05,-0.000105982,0.00674709,-5.38274e-06,-1.6403e-05
6.77059e+06,-12230.2,99035.3,-113.173,-940.716,7617.55,0.999592,0.0285664,8.22593e-05,-0.000106835,0.00676391,-5.78182e-06,-1.63009e-05
6.77057e+06,-12324.3,99797.1,-114.044,-940.715,7617.54,0.999582,0.0289048,8.19474e-05,-0.000107684,0.00678046,-6.17936e-06,-1.61983e-05
6.77056e+06,-12418.3,100559,-114.914,-940.713,7617.52,0.999572,0.0292441,8.16155e-05,-0.000108528,0.00679674,-6.57532e-06,-1.60953e-05
6.77055e+06,-12512.4,101321,-115.785,-940.712,7617.51,0.999562,0.0295842,8.12635e-05,-0.000109367,0.00681275,-6.96966e-06,-1.5992e-05
6.77054e+06,-12606.5,102082,-116.655,-940.71,7617.5,0.999552,0.0299251,8.08916e-05,-0.000110202,0.0068285,-7.36232e-06,-1.58884e-05
6.77053e+06,-12700.6,102844,-117.526,-940.708,7617.48,0.999542,0.0302668,8.04999e-05,-0.000111033,0.00684399,-7.75328e-06,-1.57845e-05
6.77052e+06,-12794.6,103606,-118.396,-940.707,7617.47,0.999531,0.0306092,8.00885e-05,-0.000111859,0.00685922,-8.14248e-06,-1.56803e-05
6.7705e+06,-12888.7,104368,-119.267,-940.705,7617.46,0.999521,0.0309524,7.96574e-05,-0.00011268,0.0068742,-8.5299e-06,-1.55759e-05
