a,e,i,RAAN,argp,nu
6.77813e+06,0.00100267,1.69367,0,0.037959,6.27164
6.77813e+06,0.00100267,1.69367,0,0.0381215,6.27159
6.77813e+06,0.00100268,1.69367,0,0.0382841,6.27154
6.77813e+06,0.00100268,1.69367,0,0.0384466,6.27149
6.77813e+06,0.00100268,1.69367,0,0.0386091,6.27144
6.77813e+06,0.00100269,1.69367,0,0.0387716,6.27139
6.77813e+06,0.00100269,1.69367,0,0.0389342,6.27135
6.77813e+06,0.00100269,1.69367,0,0.0390967,6.2713
6.77813e+06,0.0010027,1.69367,0,0.0392592,6.27125
6.77813e+06,0.0010027,1.69367,0,0.0394217,6.2712
6.77813e+06,0.0010027,1.69367,0,0.0395842,6.27115
6.77813e+06,0.00100271,1.69367,0,0.0397467,6.2711
6.77813e+06,0.00100271,1.69367,0,0.0399092,6.27105
6.77813e+06,0.00100271,1.69367,0,0.0400717,6.271
6.77813e+06,0.00100272,1.69367,0,0.0402342,6.27095
6.77813e+06,0.00100272,1.69367,0,0.0403967,6.2709
6.77813e+06,0.00100272,1.69367,0,0.0405592,6.27085
6.77813e+06,0.00100272,1.69367,0,0.0407217,6.2708
6.77813e+06,0.00100273,1.69367,0,0.0408842,6.27076
6.77813e+06,0.00100273,1.69367,0,0.0410467,6.27071
6.77813e+06,0.00100273,1.69367,0,0.0412091,6.27066
6.77813e+06,0.00100274,1.69367,0,0.0413716,6.27061
6.77813e+06,0.00100274,1.69367,0,0.0415341,6.27056
6.77813e+06,0.00100274,1.69367,0,0.0416966,6.27051
6.77813e+06,0.00100274,1.69367,0,0.041859,6.27046
6.77813e+06,0.00100275,1.69367,0,0.0420215,6.27041
6.77813e+06,0.00100275,1.69367,0,0.042184,6.27036
6.77813e+06,0.00100275,1.69367,0,0.0423464,6.27031
6.77813e+06,0.00100275,1.69367,0,0.0425089,6.27026
6.77813e+06,0.00100275,1.69367,0,0.0426713,6.27022
6.77813e+06,0.00100276,1.69367,0,0.0428338,6.27017
6.77813e+06,0.00100276,1.69367,0,0.0429962,6.27012
6.77813e+06,0.00100276,1.69367,0,0.0431587,6.27007
